listing_id,end_time,settle_time,listing_type,listing_state,horse_id,horse_name,horse_gender,hex_color,generation,bloodline,complete_rating,breeding_slots,winning_bid_amount,winning_bidder,total_bids,user_id
c1f49f6f-0dbf-45e7-8047-7c2c7a9c8c8f,2025-07-01T07:57:11+00:00,2025-07-01T07:57:11+00:00,STUD_AUCTION,ACTIVE,9f6b3f31-ad20-4d02-a247-c5974134586b,Beer O Clock,MALE,BA68C8,3,BUTERIN,4.0,3,0.0,,0,36a908d1-b8ae-4d42-aa1a-65c791fb4495
6017ea1d-9fe2-4811-9bd6-f5dbc112491f,2025-07-01T07:50:28+00:00,2025-07-01T07:50:28+00:00,STUD_AUCTION,ACTIVE,0fbbfbd6-eb72-44a9-af9b-950ef9141fd9,Djibouti Donkulous,MALE,8E24AA,2,BUTERIN,3.5,2,0.0,,0,fe806b57-86bf-43c3-94a2-4491483f8651
464c3357-1105-4573-b519-ac57cb087bc9,2025-07-01T07:44:35+00:00,2025-07-01T07:44:35+00:00,STUD_AUCTION,ACTIVE,229998d7-9937-45e8-b30e-8c486621e706,Nimbus Glide,MALE,0288D1,0,SZABO,2.5,4,0.0,,0,ac2e256c-e1c4-4f01-be10-697ca3fee2a0
c9766ada-2ebc-4001-ba41-7a1f343a3f86,2025-07-01T07:39:57+00:00,2025-07-01T07:39:57+00:00,STUD_AUCTION,ACTIVE,2687d281-a537-45d2-97c1-6cd08cf0516c,Sympathetic Crow,MALE,FFFFFF,1,FINNEY,3.0,0,0.0,,0,6df05982-8638-495b-9b29-8777e597a45c
f6c30de9-0d41-4ec7-94fc-1a625df6ef5c,2025-07-01T07:34:01+00:00,2025-07-01T07:34:01+00:00,STUD_AUCTION,ACTIVE,3e833704-0be9-49a2-9421-4fbf63e95517,Easy D,MALE,AB47BC,3,FINNEY,3.0,0,0.0,,0,0e98e55c-fd9f-4b4c-b511-b1a6972a26ca
86ebccc7-53b4-4fe1-a26d-30ce823c38af,2025-07-01T07:16:32+00:00,2025-07-01T07:16:32+00:00,STUD_AUCTION,ACTIVE,dee953ae-5f6b-43aa-9c67-d1143351f857,Chrome Country,MALE,9C27B0,4,SZABO,3.5,0,0.0,,0,4d6590fb-caf2-42cd-8efe-1d9025058a19
d691b677-d0a9-437e-b4d0-ebb8e9dfa8b1,2025-07-01T06:54:02+00:00,2025-07-01T06:54:02+00:00,STUD_AUCTION,ACTIVE,7e6919d8-46cf-4e58-a11d-12caa91a6b4d,Jergins,MALE,AB47BC,3,SZABO,3.0,0,0.0,,0,7c3ad3aa-d320-47a8-8e16-b06048316915
0c3583e4-7c62-438c-ac4c-2c9b3b2140ff,2025-07-01T06:35:52+00:00,2025-07-01T06:35:52+00:00,STUD_AUCTION,ACTIVE,e4636bb5-6d4b-44d6-838b-d0f3b94836ec,The Circus,MALE,F06292,2,NAKAMOTO,4.0,1,0.0,,0,e460f23f-191b-4ef4-8152-f7cf97c652d6
8f67c7e7-d8b4-4ba1-857f-400680e93cb3,2025-07-01T06:33:13+00:00,2025-07-01T06:33:13+00:00,STUD_AUCTION,ACTIVE,6f2d723f-dd94-4a62-b5f1-738e5c7e5e5c,Bubbly Lyra,MALE,E53935,2,NAKAMOTO,3.5,0,0.0,,0,77c73bec-3021-4d68-90c1-0979acd41dcd
3350ac5d-2013-4b7c-923e-4be89d46682e,2025-07-01T06:28:14+00:00,2025-07-01T06:28:14+00:00,STUD_AUCTION,ACTIVE,6d8ab36c-29da-4a99-aba6-496021110c76,Sydney Blinders,MALE,8E24AA,1,BUTERIN,3.5,3,0.0,,0,fe806b57-86bf-43c3-94a2-4491483f8651
6416f997-9ea2-4aa2-98d7-eaa7e228a26e,2025-07-01T06:27:57+00:00,2025-07-01T06:27:57+00:00,STUD_AUCTION,ACTIVE,05b99bc3-6cdd-4c29-aed2-6ed21cc45227,Maranello Prancer,MALE,EF5350,2,NAKAMOTO,3.5,0,0.0,,0,fe806b57-86bf-43c3-94a2-4491483f8651
a637e385-8115-491e-99c4-01d7cb5ec209,2025-07-01T06:27:44+00:00,2025-07-01T06:27:44+00:00,STUD_AUCTION,ACTIVE,af69570e-50e2-4707-aefa-b9e83eefbb0f,Cabo Tequila,MALE,FDD835,3,SZABO,3.5,0,0.0,,0,fe806b57-86bf-43c3-94a2-4491483f8651
